,date,open,close,high,low,volume,code
60,2001-11-26,-112.947,-113.016,-112.947,-113.036,3100.99,600519
61,2001-11-27,-113.021,-112.947,-112.934,-113.021,2569.48,600519
62,2001-11-28,-112.938,-112.938,-112.877,-112.965,3773.62,600519
63,2001-11-29,-112.945,-112.977,-112.911,-112.981,3046.18,600519
64,2001-11-30,-112.977,-112.886,-112.867,-112.982,4070.97,600519
65,2001-12-03,-112.885,-112.739,-112.721,-112.886,16037.05,600519
66,2001-12-04,-112.725,-112.732,-112.721,-112.803,6894.99,600519
67,2001-12-05,-112.591,-112.769,-112.591,-112.776,15028.35,600519
68,2001-12-06,-112.787,-112.758,-112.716,-112.805,6372.22,600519
69,2001-12-07,-112.751,-112.794,-112.734,-112.805,3908.2,600519
70,2001-12-10,-112.769,-112.771,-112.755,-112.821,4161.56,600519
71,2001-12-11,-112.769,-112.833,-112.769,-112.838,3580.02,600519
72,2001-12-12,-112.84,-112.81,-112.751,-112.84,4632.67,600519
73,2001-12-13,-112.838,-112.901,-112.774,-112.911,3540.45,600519
74,2001-12-14,-112.943,-112.911,-112.858,-112.943,2841.25,600519
75,2001-12-17,-112.927,-112.883,-112.838,-112.938,4413.89,600519
76,2001-12-18,-112.861,-112.787,-112.776,-112.929,4821.2,600519
77,2001-12-19,-112.787,-112.776,-112.682,-112.835,9620.01,600519
78,2001-12-20,-112.787,-112.989,-112.787,-113.009,11362.23,600519
79,2001-12-21,-113.0,-112.792,-112.774,-113.0,8135.04,600519
80,2001-12-24,-112.771,-112.694,-112.547,-112.803,27250.79,600519
81,2001-12-25,-112.689,-112.68,-112.641,-112.778,12182.6,600519
82,2001-12-26,-112.673,-112.558,-112.547,-112.751,16809.52,600519
83,2001-12-27,-112.552,-112.534,-112.442,-112.606,23284.78,600519
84,2001-12-28,-112.538,-112.538,-112.485,-112.613,12279.32,600519
85,2001-12-31,-112.472,-112.316,-112.183,-112.51,52195.41,600519
86,2002-01-04,-112.286,-112.494,-112.272,-112.511,29109.62,600519
87,2002-01-07,-112.565,-112.529,-112.503,-112.648,18942.95,600519
88,2002-01-08,-112.591,-112.664,-112.487,-112.684,13286.64,600519
89,2002-01-09,-112.68,-112.614,-112.559,-112.707,10606.82,600519
90,2002-01-10,-112.595,-112.549,-112.522,-112.707,18815.55,600519
91,2002-01-11,-112.59,-112.76,-112.566,-112.769,11834.75,600519
92,2002-01-14,-112.822,-112.751,-112.698,-112.87,18718.51,600519
93,2002-01-15,-112.773,-112.673,-112.582,-112.785,18247.41,600519
94,2002-01-16,-112.684,-112.707,-112.597,-112.876,13974.33,600519
95,2002-01-17,-112.734,-112.936,-112.682,-113.0,24180.31,600519
96,2002-01-18,-112.982,-112.654,-112.613,-113.0,32262.08,600519
