"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 30 16:54:00 CST 2020","Thu Apr 30 16:54:00 CST 2020","33","scripts","test_case","TestCase","","","token_查询余额","<b style='color:red'>请求的url:</b>http://www.neeo.cc:6002/pinter/bank/api/query2<hr /><b style='color:red'>预期值: </b>{""code"": ""0"", ""message"": ""success""}<hr /><b style='color:red'>实际执行结果: </b>{'code': '0', 'message': 'success', 'data': '$ 78,661,995'}<hr />"
"passed","Thu Apr 30 16:54:00 CST 2020","Thu Apr 30 16:54:00 CST 2020","16","scripts","test_case","TestCase","","","查询库存","<b style='color:red'>请求的url:</b>http://www.neeo.cc:6002/pinter/com/getSku<hr /><b style='color:red'>预期值: </b>{""code"": ""0"", ""message"": ""success""}<hr /><b style='color:red'>实际执行结果: </b>{'code': '0', 'message': 'success', 'data': {'skuId': 1, 'skuName': 'ptest-1', 'price': '270', 'stock': 14, 'brand': 'testfan'}}<hr />"
"passed","Thu Apr 30 16:54:00 CST 2020","Thu Apr 30 16:54:00 CST 2020","37","scripts","test_case","TestCase","","","下单接口","<b style='color:red'>请求的url:</b>http://www.neeo.cc:6002/pinter/com/buy<hr /><b style='color:red'>预期值: </b>{""code"": ""0"", ""message"": ""success""}<hr /><b style='color:red'>实际执行结果: </b>{'code': '0', 'message': 'success', 'data': 'skuId,num'}<hr />"
"failed","Thu Apr 30 16:54:00 CST 2020","Thu Apr 30 16:54:00 CST 2020","21","scripts","test_case","TestCase","","","普通登录","<b style='color:red'>请求的url:</b>http://www.neeo.cc:6002/pinter/com/login<hr /><b style='color:red'>预期值: </b>{""code"": ""1"", ""message"": ""success""}<hr /><b style='color:red'>实际执行结果: </b>{'code': '0', 'message': 'success', 'data': None}<hr />"
"failed","Thu Apr 30 16:54:00 CST 2020","Thu Apr 30 16:54:00 CST 2020","40","scripts","test_case","TestCase","","","token_登录","<b style='color:red'>请求的url:</b>http://www.neeo.cc:6002/pinter/bank/api/login2<hr /><b style='color:red'>预期值: </b>{""code"": ""2"", ""message"": ""success""}<hr /><b style='color:red'>实际执行结果: </b>{'code': '0', 'message': 'success', 'data': '404ace1b6df2453a974ed93d5b6f8e8a'}<hr />"
"failed","Thu Apr 30 16:54:00 CST 2020","Thu Apr 30 16:54:00 CST 2020","16","scripts","test_case","TestCase","","","cookies_查询余额","<b style='color:red'>请求的url:</b>http://www.neeo.cc:6002/pinter/bank/api/query<hr /><b style='color:red'>预期值: </b>{""code"": ""0"", ""message"": ""success1""}<hr /><b style='color:red'>实际执行结果: </b>{'code': '0', 'message': 'success', 'data': '$ 76,342,334'}<hr />"
"passed","Thu Apr 30 16:54:00 CST 2020","Thu Apr 30 16:54:00 CST 2020","17","scripts","test_case","TestCase","","","cookies_登录","<b style='color:red'>请求的url:</b>http://www.neeo.cc:6002/pinter/bank/api/login<hr /><b style='color:red'>预期值: </b>{""code"": ""0"", ""message"": ""success""}<hr /><b style='color:red'>实际执行结果: </b>{'code': '0', 'message': 'success', 'data': None}<hr />"
